-ford,浅瀬,アサセ
accordance,一致,イッチ
accordance,調和,チョウワ
accordance,適合,テキゴウ
according,従って,シタガッテ
accordingly,従って,シタガッテ
accordingly,それゆえ,ソレユエ
accordion,アコーディオン,アコーディオン
accordion,手風琴,テフウキン
accordionist,アコーディオン演奏者,アコーディオンエンソウシャ
accountant,会計係,カイケイガカリ
accountant,会計士,カイケイシ
accountant,計理士,ケイリシ
accounting,会計,カイケイ
accounting,経理,ケイリ
accounting,会計学,カイケイガク
accretion,増大,ゾウダイ
accretion,付加物,フカブツ
accretion,添加物,テンカブツ
acculturation,文化変容,ブンカヘンヨウ
accumulator,蓄財家,チクザイカ
accumulator,蓄電池,チクデンチ
accumulator,累算器,ルイサンキ
accuracy,精密,セイミツ
accusative,対格,タイカク
accusative,直接目的格,チョクセツモクテキカク
accused,刑事被告人,ケイジヒコクジン
accuser,告訴人,コクソジン
accuser,原告,ゲンコク
accuser,非難者,ヒナンシャ
acerbity,渋味,シブミ
acetanilide,アセトアニリド,アセトアニリド
acetate,酢酸塩,サクサンシオ
acetate,アセテート,アセテート
acetone,アセトン,アセトン
acetylcholine,アセチルコリン,アセチルコリン
acetylene,アセチレン,アセチレン
ache,痛み,イタミ
achene,痩果,痩果
achievement,成就,ジョウジュ
achievement,達成,タッセイ
achievement,業績,ギョウセキ
achievement,功績,コウセキ
acidity,酸味,サンミ
acidity,酸度,サンド
acidosis,酸性症,サンセイショウ
acidosis,酸中毒,サンチュウドク
ackack,高射砲,コウシャホウ
ackack,対空砲火,タイクウホウカ
acme,絶頂,ゼッチョウ
acme,極致,キョクチ
acne,にきび,ニキビ
acolyte,侍祭,サムライサイ
acolyte,助手,ジョシュ
acolyte,補佐役,ホサヤク
acolyte,伴僧,バンソウ
acolyte,助手,ジョシュ
acolyte,初心者,ショシンシャ
aconite,トリカブト,トリカブト
acorn,どんぐり,ドングリ
acoustics,音響学,オンキョウガク
acoustics,音響効果,オンキョウコウカ
acquaintance,知り合い,シリアイ
acquaintance,知人,チジン
acquaintance,知識,チシキ
acquiescence,黙認,モクニン
acquirement,学識,ガクシキ
acquirement,技能,ギノウ
acquittal,無罪放免,ムザイホウメン
acquittal,釈放,シャクホウ
acquittal,免訴,メンソ
acre,エーカー,エーカー
acre,田畑,タハタ
acre,土地,トチ
acreage,エーカー数,エーカースウ
acreage,面積,メンセキ
acrobat,軽業師,カルワザシ
acrobat,曲芸師,キョクゲイシ
acrobat,綱渡り芸人,ツナワタリゲイニン
acrophobia,高所恐怖症,コウショキョウフショウ
actomyosin,アクトミオシン,アクトミオシン
ACTH,副腎皮質刺激ホルモン,フクジンヒシツシゲキホルモン
actin,アクチン,アクチン
acting,演出,エンシュツ
acting,演技,エンギ
actinium,アクチニウム,アクチニウム
action,行動,コウドウ
action,活動,カツドウ
action,行為,コウイ
action,行い,オコナイ
action,身ぶり,ミブリ
action,動作,ドウサ
action,所作,ショサ
action,働き,ハタラキ
action,働き,ハタラキ
action,機能,キノウ
action,作用,サヨウ
action,戦闘,セントウ
action,アクション,アクション
action,作動装置,サドウソウチ
action,訴訟,ソショウ
action,本筋,ホンスジ
activation,活動化,カツドウカ
activation,活性化,カッセイカ
activism,化学線作用,カガクセンサヨウ
activism,実践主義,ジッセンシュギ
activist,実践主義者,ジッセンシュギシャ
activity,活動,カツドウ
activity,働き,ハタラキ
activity,活力,カツリョク
activity,活動,カツドウ
activity,行事,ギョウジ
activity,学内活動,ガクナイカツドウ
activity,クラブ活動,クラブカツドウ
activity,活気,カッキ
actor,俳優,ハイユウ
actor,男優,ダンユウ
actor,行為者,コウイシャ
actress,女優,ジョユウ
Acts,使徒行伝,シトクダリデン
actuality,現実,ゲンジツ
actuality,実在,ジツザイ
actuality,現実性,ゲンジツセイ
actuality,現状,ゲンジョウ
actuality,事実,ジジツ
actually,現に,ゲンニ
actuary,保険計理士,ホケンケイリシ
acuity,鋭さ,スルドサ
acumen,明敏,メイビン
acupuncture,針療法,ハリリョウホウ
acupuncture,鍼術,鍼術
ad,広告,コウコク
adage,格言,カクゲン
adage,ことわざ,コトワザ
Adam,アダム,アダム
adaptability,適応性,テキオウセイ
adaptability,順応性,ジュンノウセイ
adaptation,適応,テキオウ
adaptation,順応,ジュンノウ
adaptation,脚色,キャクショク
adaptation,翻案,ホンアン
adaptation,翻案物,ホンアンブツ
adaptation,改作物,カイサクブツ
addend,加数,カスウ
addendum,付加物,フカブツ
addendum,追加,ツイカ
addendum,補遺,ホイ
addendum,付録,フロク
adder,計算者,ケイサンシャ
adder,計算器,ケイサンキ
adder,アダー,アダー
addict,常用者,ジョウヨウシャ
addict,中毒者,チュウドクシャ
addiction,常用,ジョウヨウ
addition,追加,ツイカ
addition,加法,カホウ
addition,足し算,タシザン
additionally,その上,ソノウエ
additive,添加物,テンカブツ
addressee,受信人,ジュシンジン
addressee,名あて人,ナアテジン
Aden,アデン,アデン
adenine,アデニン,アデニン
adenoids,アデノイド,アデノイド
adenoids,腺様増殖症,センサマゾウショクショウ
adept,名人,メイジン
adherence,固守,コシュ
adherence,執着,シュウチャク
adherent,支持者,シジシャ
adherent,味方,ミカタ
adherent,信者,シンジャ
adhesion,粘着,ネンチャク
adhesion,付着,フチャク
adhesive,粘着物,ネンチャクブツ
adhesive,接着剤,セッチャクザイ
adieu,別れ,ワカレ
adieu,告別,コクベツ
adjournment,延期,エンキ
adjournment,休会,キュウカイ
adjournment,延期期間,エンキキカン
adjudication,裁定,サイテイ
adjudication,判決,ハンケツ
adjudication,宣告,センコク
adjunct,付属物,フゾクブツ
adjunct,修飾語句,シュウショクゴク
adjustment,調停,チョウテイ
adjustment,調整,チョウセイ
adjustment,調節,チョウセツ
adjustment,調整装置,チョウセイソウチ
adjutant,副官,フッカン
adjutant,補助員,ホジョイン
adjutant,助手,ジョシュ
adjutant,ハゲコウ,ハゲコウ
adman,広告業者,コウコクギョウシャ
adman,広告会社社員,コウコクカイシャシャイン
admass,マスコミ広告,マスコミコウコク
admass,マスコミ社会,マスコミシャカイ
administration,行政,ギョウセイ
administration,統治,トウチ
administration,管理,カンリ
administration,経営,ケイエイ
administration,行政機関,ギョウセイキカン
administration,連邦政府,レンポウセイフ
administration,管理者側,カンリシャガワ
administration,当局者,トウキョクシャ
administration,教務部,キョウムブ
administration,執行,シッコウ
administration,施行,シコウ
administrator,為政者,イセイシャ
administrator,行政官,ギョウセイカン
administrator,管理者,カンリシャ
admiral,司令長官,シレイチョウカン
admiral,海軍将官,カイグンショウカン
admiral,提督,テイトク
admiral,アカタテハチョウ,アカタテハチョウ
admiralty,海軍省,カイグンショウ
admiralty,海事法,カイジホウ
admiration,賞賛,ショウサン
admiration,感嘆,カンタン
admiration,賛美,サンビ
admirer,賞賛者,ショウサンシャ
admissibility,許容,キョヨウ
admissibility,容認,ヨウニン
admission,入場許可,ニュウジョウキョカ
admission,入場料,ニュウジョウリョウ
admission,入学金,ニュウガクキン
admission,白状,ハクジョウ
admission,容器,ヨウキ
admittance,入場,ニュウジョウ
admittance,入場許可,ニュウジョウキョカ
admixture,混合物,コンゴウブツ
admixture,混入物,コンニュウブツ
admixture,添加物,テンカブツ
admonition,忠告,チュウコク
admonition,警告,ケイコク
admonition,訓戒,クンカイ
ado,騒ぎ,サワギ
ado,騒動,ソウドウ
ado,めんどう,メンドウ
adobe,アドービれんが　日干し煉瓦,アドービレンガ　ヒボシレンガ
adolescence,青春期,セイシュンキ
adolescence,思春期,シシュンキ
adolescent,若者,ワカモノ
